SIGLA;CODIBGE;NOMEMUNI;HOMICIDIOS
GO;5200050;Abadia de Goiás;1
GO;5200100;Abadiânia;4
GO;5200134;Acreúna;6
GO;5200159;Adelândia;
GO;5200175;Água Fria de Goiás;
GO;5200209;Água Limpa;
GO;5200258;Águas Lindas de Goiás;39
GO;5200308;Alexânia;5
GO;5200506;Aloândia;
GO;5200555;Alto Horizonte;1
GO;5200605;Alto Paraíso de Goiás;
GO;5200803;Alvorada do Norte;3
GO;5200829;Amaralina;1
GO;5200852;Americano do Brasil;1
GO;5200902;Amorinópolis;
GO;5201108;Anápolis;46
GO;5201207;Anhanguera;
GO;5201306;Anicuns;2
GO;5201405;Aparecida de Goiânia;132
GO;5201454;Aparecida do Rio Doce;
GO;5201504;Aporé;1
GO;5201603;Araçu;1
GO;5201702;Aragarças;2
GO;5201801;Aragoiânia;
GO;5202155;Araguapaz;1
GO;5202353;Arenópolis;
GO;5202502;Aruanã;
GO;5202601;Aurilândia;
GO;5202809;Avelinópolis;1
GO;5203104;Baliza;1
GO;5203203;Barro Alto;1
GO;5203302;Bela Vista de Goiás;1
GO;5203401;Bom Jardim de Goiás;5
GO;5203500;Bom Jesus de Goiás;3
GO;5203559;Bonfinópolis;1
GO;5203575;Bonópolis;
GO;5203609;Brazabrantes;
GO;5203807;Britânia;
GO;5203906;Buriti Alegre;
GO;5203939;Buriti de Goiás;
GO;5203962;Buritinópolis;
GO;5204003;Cabeceiras;8
GO;5204102;Cachoeira Alta;3
GO;5204201;Cachoeira de Goiás;
GO;5204250;Cachoeira Dourada;
GO;5204300;Caçu;2
GO;5204409;Caiapônia;1
GO;5204508;Caldas Novas;9
GO;5204557;Caldazinha;
GO;5204607;Campestre de Goiás;
GO;5204656;Campinaçu;2
GO;5204706;Campinorte;
GO;5204805;Campo Alegre de Goiás;2
GO;5204854;Campo Limpo de Goiás;
GO;5204904;Campos Belos;2
GO;5204953;Campos Verdes;1
GO;5205000;Carmo do Rio Verde;
GO;5205059;Castelândia;
GO;5205109;Catalão;12
GO;5205208;Caturaí;
GO;5205307;Cavalcante;1
GO;5205406;Ceres;5
GO;5205455;Cezarina;3
GO;5205471;Chapadão do Céu;1
GO;5205497;Cidade Ocidental;3
GO;5205513;Cocalzinho de Goiás;5
GO;5205521;Colinas do Sul;5
GO;5205703;Córrego do Ouro;1
GO;5205802;Corumbá de Goiás;
GO;5205901;Corumbaíba;3
GO;5206206;Cristalina;12
GO;5206305;Cristianópolis;
GO;5206404;Crixás;
GO;5206503;Cromínia;
GO;5206602;Cumari;
GO;5206701;Damianópolis;
GO;5206800;Damolândia;
GO;5206909;Davinópolis;
GO;5207105;Diorama;
GO;5207253;Doverlândia;
GO;5207352;Edealina;
GO;5207402;Edéia;
GO;5207501;Estrela do Norte;
GO;5207535;Faina;1
GO;5207600;Fazenda Nova;
GO;5207808;Firminópolis;1
GO;5207907;Flores de Goiás;5
GO;5208004;Formosa;35
GO;5208103;Formoso;1
GO;5208152;Gameleira de Goiás;1
GO;5208301;Divinópolis de Goiás;
GO;5208400;Goianápolis;3
GO;5208509;Goiandira;
GO;5208608;Goianésia;9
GO;5208707;Goiânia;430
GO;5208806;Goianira;3
GO;5208905;Goiás;4
GO;5209101;Goiatuba;2
GO;5209150;Gouvelândia;
GO;5209200;Guapó;1
GO;5209291;Guaraíta;
GO;5209408;Guarani de Goiás;
GO;5209457;Guarinos;
GO;5209606;Heitoraí;
GO;5209705;Hidrolândia;1
GO;5209804;Hidrolina;1
GO;5209903;Iaciara;
GO;5209937;Inaciolândia;
GO;5209952;Indiara;5
GO;5210000;Inhumas;5
GO;5210109;Ipameri;4
GO;5210158;Ipiranga de Goiás;
GO;5210208;Iporá;2
GO;5210307;Israelândia;1
GO;5210406;Itaberaí;9
GO;5210562;Itaguari;
GO;5210604;Itaguaru;
GO;5210802;Itajá;
GO;5210901;Itapaci;1
GO;5211008;Itapirapuã;2
GO;5211206;Itapuranga;4
GO;5211305;Itarumã;
GO;5211404;Itauçu;1
GO;5211503;Itumbiara;11
GO;5211602;Ivolândia;
GO;5211701;Jandaia;3
GO;5211800;Jaraguá;9
GO;5211909;Jataí;12
GO;5212006;Jaupaci;
GO;5212055;Jesúpolis;1
GO;5212105;Joviânia;
GO;5212204;Jussara;
GO;5212253;Lagoa Santa;
GO;5212303;Leopoldo de Bulhões;
GO;5212501;Luziânia;52
GO;5212600;Mairipotaba;
GO;5212709;Mambaí;
GO;5212808;Mara Rosa;
GO;5212907;Marzagão;
GO;5212956;Matrinchã;
GO;5213004;Maurilândia;1
GO;5213053;Mimoso de Goiás;
GO;5213087;Minaçu;4
GO;5213103;Mineiros;4
GO;5213400;Moiporá;
GO;5213509;Monte Alegre de Goiás;2
GO;5213707;Montes Claros de Goiás;3
GO;5213756;Montividiu;2
GO;5213772;Montividiu do Norte;
GO;5213806;Morrinhos;5
GO;5213855;Morro Agudo de Goiás;
GO;5213905;Mossâmedes;
GO;5214002;Mozarlândia;3
GO;5214051;Mundo Novo;
GO;5214101;Mutunópolis;1
GO;5214408;Nazário;2
GO;5214507;Nerópolis;4
GO;5214606;Niquelândia;13
GO;5214705;Nova América;
GO;5214804;Nova Aurora;
GO;5214838;Nova Crixás;3
GO;5214861;Nova Glória;
GO;5214879;Nova Iguaçu de Goiás;
GO;5214903;Nova Roma;
GO;5215009;Nova Veneza;1
GO;5215207;Novo Brasil;
GO;5215231;Novo Gama;23
GO;5215256;Novo Planalto;
GO;5215306;Orizona;
GO;5215405;Ouro Verde de Goiás;1
GO;5215504;Ouvidor;
GO;5215603;Padre Bernardo;5
GO;5215652;Palestina de Goiás;1
GO;5215702;Palmeiras de Goiás;
GO;5215801;Palmelo;
GO;5215900;Palminópolis;1
GO;5216007;Panamá;
GO;5216304;Paranaiguara;1
GO;5216403;Paraúna;1
GO;5216452;Perolândia;2
GO;5216809;Petrolina de Goiás;2
GO;5216908;Pilar de Goiás;1
GO;5217104;Piracanjuba;1
GO;5217203;Piranhas;
GO;5217302;Pirenópolis;1
GO;5217401;Pires do Rio;7
GO;5217609;Planaltina;44
GO;5217708;Pontalina;2
GO;5218003;Porangatu;3
GO;5218052;Porteirão;
GO;5218102;Portelândia;1
GO;5218300;Posse;6
GO;5218391;Professor Jamil;
GO;5218508;Quirinópolis;4
GO;5218607;Rialma;1
GO;5218706;Rianápolis;
GO;5218789;Rio Quente;
GO;5218805;Rio Verde;28
GO;5218904;Rubiataba;
GO;5219001;Sanclerlândia;2
GO;5219100;Santa Bárbara de Goiás;
GO;5219209;Santa Cruz de Goiás;
GO;5219258;Santa Fé de Goiás;
GO;5219308;Santa Helena de Goiás;7
GO;5219357;Santa Isabel;
GO;5219407;Santa Rita do Araguaia;
GO;5219456;Santa Rita do Novo Destino;1
GO;5219506;Santa Rosa de Goiás;
GO;5219605;Santa Tereza de Goiás;1
GO;5219704;Santa Terezinha de Goiás;3
GO;5219712;Santo Antônio da Barra;
GO;5219738;Santo Antônio de Goiás;
GO;5219753;Santo Antônio do Descoberto;27
GO;5219803;São Domingos;2
GO;5219902;São Francisco de Goiás;
GO;5220009;São João d'Aliança;1
GO;5220058;São João da Paraúna;
GO;5220108;São Luís de Montes Belos;
GO;5220157;São Luíz do Norte;
GO;5220207;São Miguel do Araguaia;5
GO;5220264;São Miguel do Passa Quatro;
GO;5220280;São Patrício;
GO;5220405;São Simão;3
GO;5220454;Senador Canedo;15
GO;5220504;Serranópolis;3
GO;5220603;Silvânia;1
GO;5220686;Simolândia;
GO;5220702;Sítio d'Abadia;
GO;5221007;Taquaral de Goiás;
GO;5221080;Teresina de Goiás;1
GO;5221197;Terezópolis de Goiás;
GO;5221304;Três Ranchos;
GO;5221403;Trindade;16
GO;5221452;Trombas;
GO;5221502;Turvânia;
GO;5221551;Turvelândia;2
GO;5221577;Uirapuru;
GO;5221601;Uruaçu;2
GO;5221700;Uruana;5
GO;5221809;Urutaí;
GO;5221858;Valparaíso de Goiás;27
GO;5221908;Varjão;1
GO;5222005;Vianópolis;
GO;5222054;Vicentinópolis;1
GO;5222203;Vila Boa;5
GO;5222302;Vila Propício;
